,SubmitPerView,Ratio,Customer_Value_Score,SubmissionScore2,Submission_Score,Credit_Card_Apply_Clicked,Date,Express_No_Offers,Express_Visited,FCS_Client_Signup Completed,FCS_Qform_Optin_Completed,Form_Conversion,Form_Engagement_1,Form_Engagement_2,FormStart,FormSubmit_in_Express_Offers,GeoSegmentation_States,state,GeoSegmentationStatesSplit2,GeoSegmentationStates,Lender_Not_Matched,Lenders_Matched,Mobile_Device_Type,MyLT_Session_Started,Number_of_Records,Page_Views,Product_Reporting,TreeAuthID,Visit_Number,Visitor_ID,cchannel,csource,Qformuid
2057,0.0,0.0,0.0,0.0,0.0,0,1/15/2018,0,0,0,0,0,0,0,1,0,pennsylvania (united states),pennsylvania,united states,pennsylvania (united states),0,0,Tablet,0,1,1,Reverse Mortgage,485ec837-8ec9-4293-b141-6de4f0d43285,1,3562619556125963734_7576942285455222483,perf,1.0,f889b27c-b9e0-43d9-9c1e-4a973ff8bdb9
2317,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,new jersey (united states),new jersey,united states,new jersey (united states),0,0,Mobile Phone,0,1,1,Personal,aef6b636-0590-4353-9fec-5834e4d89407,4,3020032802411762621_1804600476160357149,aff,27.0,0e40220f-ed2d-49cc-b872-20408618468d
2335,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,ohio (united states),ohio,united states,ohio (united states),0,0,Mobile Phone,0,1,1,Personal,9fc36a81-4977-4a58-80ac-9d973392acd8,24,5144030959547756791_5917809737905986773,aff,27.0,187cc0b6-369c-4faf-97b6-481b5cdc35ee
2342,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,1,0,0,0,1,1,1,0,illinois (united states),illinois,united states,illinois (united states),0,0,Mobile Phone,0,1,16,Personal,02cb42cf-2f52-40c7-80eb-f8d0c5edc750,7,6536300517388113577_4928125284893399175,aff,27.0,1b66bcee-28f0-4350-a510-e3ad9f1e4a82
2344,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,0,0,michigan (united states),michigan,united states,michigan (united states),0,0,Mobile Phone,1,1,5,Purchase,2ebd1a7d-3c77-4b0a-a493-57036473e9fb,2,3710530291793330330_5362267598284137185,aff,27.0,1c435b57-523f-49b7-9839-c6ea02341259
2346,0.0,0.0,0.0,0.083333333,83.333333333,0,1/1/2018,0,1,0,0,1,1,1,1,1,massachusetts (united states),massachusetts,united states,massachusetts (united states),0,0,Mobile Phone,0,1,12,Purchase,7b0c15f3-b3a4-48aa-a238-10c775ae4e92,1,2420870901439197975_2852896711597537567,aff,27.0,1c4f46bc-a654-41b6-9bc6-c52105bd26cf
2366,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,california (united states),california,united states,california (united states),0,0,Mobile Phone,0,1,1,Refinance,5c4159ab-d607-44eb-84a3-9cf1d25ca6ba,4,3429448752038441634_4678562122396024424,aff,27.0,2437fed3-5f99-4bb9-a1cf-28d2aeb6a1c5
2374,0.0,0.0,0.0,0.5,500.0,0,1/1/2018,0,1,0,0,1,1,0,1,1,arkansas (united states),arkansas,united states,arkansas (united states),0,0,Mobile Phone,0,1,2,Personal,6d4f7185-34cd-4270-9804-2555531cb3c1,3,7532801194698727560_6936312976228358320,aff,27.0,283f6c89-12e8-4e9f-b94b-a3863c080838
2398,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,pennsylvania (united states),pennsylvania,united states,pennsylvania (united states),0,0,Mobile Phone,0,1,2,Refinance,88a44a62-f451-475e-a2c2-81420974aff5,18,8007761592642650433_8413928340706357331,aff,27.0,3664eef2-4306-48a1-bc0b-86f9ff9a2ea9
2423,0.0,0.0,0.0,0.066666667,66.666666667,0,1/1/2018,0,1,0,0,0,1,1,1,1,florida (united states),florida,united states,florida (united states),0,0,Mobile Phone,0,1,15,Auto,0d3b5551-2d18-4711-b079-2ab8f2af6c97,5,4937940445994405543_4315462159830219679,aff,27.0,417957d2-e2a9-4ba9-842b-ffa8c239f345
2426,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,new jersey (united states),new jersey,united states,new jersey (united states),0,0,Mobile Phone,0,1,2,Refinance,5170f5cd-5f56-4fe3-b9c6-cc11132f1345,4,1064535102927311756_4205004195367826321,aff,27.0,42b6e76a-f3a3-4055-ab46-701f3c6446ac
5228,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,1,1,1,0,nevada (united states),nevada,united states,nevada (united states),0,0,Mobile Phone,0,1,9,Personal,f5980515-a706-4c4c-b2f9-46305ff4a694,4,963061912935783923_2344147479098334322,aff,27.0,6de0e2a4-c7bd-4fbb-b716-b26ecb765497
5229,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,maryland (united states),maryland,united states,maryland (united states),0,0,Mobile Phone,0,1,2,Personal,14fc64e0-cfb1-4171-bfdd-f568149e9aab,15,3624558269694555313_6520537642838231545,aff,27.0,6e188f02-d418-4e68-8d1d-c2196695014c
5250,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,pennsylvania (united states),pennsylvania,united states,pennsylvania (united states),0,0,Mobile Phone,0,1,22,Personal,66a36cb0-65c0-4313-ac9c-dffb28e55ebf,2,6159426720842992083_7400093815403596155,aff,27.0,778c4418-766c-4c01-be4c-fd0680255d5a
5259,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,ohio (united states),ohio,united states,ohio (united states),0,0,Mobile Phone,0,1,1,Personal,16be9055-03a4-43dc-878a-71824e085fe6,2,711260673047079132_5793156716467279416,aff,27.0,7c5f52a5-757f-445e-b730-6fe7b68bc34b
5280,0.0,0.0,0.0,0.0625,62.5,0,1/1/2018,0,1,0,0,0,1,1,1,1,alabama (united states),alabama,united states,alabama (united states),0,0,Mobile Phone,0,1,16,Personal,1ac3b663-6f2b-4458-8733-4053a754e8ee,8,7402968629791821543_2802548421763790799,aff,27.0,8b8d751a-9ace-4646-8e4e-524f4331aca2
5321,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,florida (united states),florida,united states,florida (united states),0,0,Mobile Phone,0,1,1,Refinance,909fd73f-106f-4698-a72c-8fbd45ce9899,3,3847364787626187840_2046106109362736448,aff,27.0,a0e2f6ad-485d-4ca9-9fc2-17a8ad052b55
5322,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,0,0,pennsylvania (united states),pennsylvania,united states,pennsylvania (united states),0,0,Mobile Phone,0,1,6,Reverse Mortgage,803b799b-fd13-4031-8aca-6170e5232bdd,4,4346094613400019167_6560958580855197104,aff,27.0,a0fafaec-357e-4a9c-ae03-b369749abf12
5434,0.0,0.0,0.0,0.5,500.0,0,1/1/2018,0,1,0,0,0,1,0,1,1,louisiana (united states),louisiana,united states,louisiana (united states),0,0,Mobile Phone,0,1,2,Personal,aac82b94-56e7-4fe8-b22a-34fad825c272,1,8163957605572265557_3711882931479372460,aff,27.0,e78d2470-6204-448d-86ae-5ecddfaa1258
5445,0.0,0.0,0.0,0.5,500.0,0,1/1/2018,0,1,0,0,0,1,0,1,1,texas (united states),texas,united states,texas (united states),0,0,Mobile Phone,0,1,2,Personal,2e99232d-0225-49fe-bf0b-2e47ad696c50,1,7253659911369273897_698744561783057386,aff,27.0,ec1ae892-03e0-4890-8d03-c88a467bc32c
5570,0.0,0.0,0.0,0.0625,62.5,0,1/1/2018,0,1,0,0,0,1,1,1,1,maryland (united states),maryland,united states,maryland (united states),0,0,Mobile Phone,0,1,16,Personal,c3c2ccca-1745-4bef-a29c-8a7c82e34eb5,6,3775083366117036928_978304564174964931,bd,31.0,068c0bb7-f915-414e-a86a-71ce106fe6fd
5607,0.0,0.0,0.0,0.0,0.0,0,1/1/2018,0,0,0,0,0,0,0,1,0,new jersey (united states),new jersey,united states,new jersey (united states),0,0,Mobile Phone,0,1,1,Refinance,6256fe3b-ff7e-4afa-a4fe-bd2bf4bdf138,2,45968034594137526_1346248772369652484,bd,31.0,2ff059df-7d57-4acd-9cf0-f336785b005f
5614,0.0,0.0,0.0,0.5,500.0,0,1/1/2018,0,1,0,0,1,1,0,1,1,florida (united states),florida,united states,florida (united states),0,0,Mobile Phone,0,1,2,Refinance,c1fb3f67-eb0c-4bc6-bc25-32540f811fac,1,260038402088445244_5536318144669674623,bd,31.0,34e65d44-3d91-4b0c-a3b4-aa772d58fac9
20507,0.0,0.0,0.0,0.0,0.0,0,2/11/2018,0,0,0,0,0,0,0,0,0,new york (united states),new york,united states,new york (united states),0,0,Tablet,0,1,1,Purchase,b200d043-d837-443a-a582-b5ea74a1295c,2,8362187676588301245_6330193726836974407,perf,1.0,70764f42-3c90-46bc-acac-7bb883a88054
20527,0.0,0.0,0.0,0.0,0.0,0,2/11/2018,0,0,0,0,0,0,0,1,0,kentucky (united states),kentucky,united states,kentucky (united states),0,0,Tablet,0,1,1,Refinance,3658ebfc-5b62-45ee-ba87-fd71927375fb,2,1872738481060338049_1215338649305091499,perf,1.0,68f10bc6-8965-4726-a158-35324e880b2c
20536,0.0,0.0,0.0,0.0,0.0,0,2/11/2018,0,0,0,0,0,0,0,1,0,wisconsin (united states),wisconsin,united states,wisconsin (united states),0,0,Tablet,0,1,1,Refinance,effdeaa4-036f-401a-b544-cd9633008ae2,6,7544065603603938429_8812367545828839728,perf,1.0,48111cb0-d34f-40c7-a302-f12c0f40e2a1
20542,0.0,0.0,0.0,0.0,0.0,0,2/11/2018,0,2,0,0,0,0,0,0,0,new york (united states),new york,united states,new york (united states),0,0,Tablet,1,1,6,Purchase,b200d043-d837-443a-a582-b5ea74a1295c,1,8362187676588301245_6330193726836974407,perf,1.0,70764f42-3c90-46bc-acac-7bb883a88054
20543,0.0,0.0,0.0,0.0,0.0,0,2/11/2018,0,0,0,0,0,0,0,0,0,new york (united states),new york,united states,new york (united states),0,0,Tablet,1,1,2,Refinance,d2a5e07f-95ae-4c52-89a8-3db8e8ab368f,1,7334395164676683285_344312217629662374,perf,1.0,39be50cc-15cc-4df9-9db1-5cf2d520cb87
20552,0.0,0.0,0.0,0.0,0.0,0,2/11/2018,0,0,0,0,0,0,0,0,0,idaho (united states),idaho,united states,idaho (united states),0,0,Tablet,1,1,3,Refinance,452aca57-e2e8-402e-b4a5-25439f1661c2,1,65220485901015446_1921979114095474040,perf,28.0,164f8531-79e5-48bc-9f26-853b2d1a4dc9
31362,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,1,0,new jersey (united states),new jersey,united states,new jersey (united states),0,0,Other,0,1,1,Personal,af93d353-be07-4ec0-a4c8-1e5213559575,2,9098858882344075182_4065403279161721565,perf,1.0,01d2306f-d6e1-49bf-b0ec-457d120b1610
31369,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,1,0,ohio (united states),ohio,united states,ohio (united states),0,0,Other,0,1,2,Personal,f5fd6a71-8b1d-44f6-8bef-9eccc3e565d2,4,1454137338328880546_2783821128957686717,perf,1.0,f1349876-1e30-4dd2-81c1-4c230f35c540
31370,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,1,0,california (united states),california,united states,california (united states),0,0,Other,0,1,3,Personal,28ab4e3a-cf4d-464d-be3c-f9909f0df9fa,3,8469963550947322146_9031216509723138471,perf,1.0,ae9cd269-1115-4487-bb1f-a22446dc7d86
31393,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,1,0,nebraska (united states),nebraska,united states,nebraska (united states),0,0,Other,0,1,2,Purchase,592794ff-57a5-404a-a286-82f7dbd25513,1,6269311219370620675_3834214248607206912,perf,1.0,3f660b30-a2d9-4861-8cd6-577a4677aade
31423,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,0,0,oklahoma (united states),oklahoma,united states,oklahoma (united states),0,0,Other,0,1,1,Refinance,d679733d-271c-4024-ac34-2ec225697f57,2,4582858796937566095_7771252695392423482,perf,1.0,0b59efa8-66a1-4ecf-b3bc-1a27586e0e43
37533,0.0,0.0,0.0,0.0,0.0,0,1/4/2018,0,0,0,0,0,0,0,1,0,new york (united states),new york,united states,new york (united states),0,0,Tablet,0,1,2,Personal,b84f8fce-adc0-48b7-944f-ae9a92ff6c80,8,1637486443122031816_5899805016327087892,perf,1.0,505f3b7f-db58-415d-b617-cab5e287e013
37562,0.0,0.0,0.0,0.0,0.0,0,1/4/2018,0,0,0,0,0,0,0,1,0,new york (united states),new york,united states,new york (united states),0,0,Tablet,0,1,1,Refinance,09a6d9a7-8398-48cf-a703-5ee4a36d1fc4,1,2836740086885766479_3546213229684560083,perf,1.0,39dd3f67-2bac-40cf-9120-44635632b176
37621,0.0,0.0,0.0,0.0,0.0,0,1/4/2018,0,5,0,0,0,0,0,0,0,washington (united states),washington,united states,washington (united states),0,0,Tablet,1,1,12,Purchase,1a820e0e-515c-4346-831f-2570a2b5ecab,1,6104499575119648347_1035866845489293535,perf,1.0,0d0cff10-6181-4ce1-a706-f2235629fb6b
47297,0.0,0.0,0.0,0.0,0.0,0,1/26/2018,0,1,0,0,0,0,0,0,0,florida (united states),florida,united states,florida (united states),0,0,Tablet,1,1,1,Refinance,dbcf1e40-ca37-412b-aee5-42f2f8aada30,1,7545195115999052584_283355446069369934,perf,1.0,e1710496-5f00-4b81-ba12-c3b295becf3c
47434,0.0,0.0,0.0,0.0,0.0,0,1/26/2018,0,0,0,0,0,0,0,1,0,minnesota (united states),minnesota,united states,minnesota (united states),0,0,Tablet,0,1,10,Home Equity,a9e32e00-8f2d-4ebc-9678-6f2f51079b01,2,4908380085058750345_8695916831605645112,perf,31.0,1905f603-d71f-46b7-acfd-152ee02ca29e
47454,0.0,0.0,0.0,0.0,0.0,0,1/26/2018,0,0,0,0,0,0,0,1,0,illinois (united states),illinois,united states,illinois (united states),0,0,Tablet,0,1,1,Refinance,b7969e58-858e-4221-819a-c3b3267d02d2,2,573004497810803214_5492694781951136458,bd,31.0,633d458d-7bf0-4012-adc5-b54b03bf1cba
47552,0.0,0.0,0.0,0.0,0.0,0,1/26/2018,0,1,0,0,0,0,0,1,0,new york (united states),new york,united states,new york (united states),0,0,Tablet,0,1,3,Personal,7049dc4f-8d73-44b6-b1bb-e6412debc6b8,2,4275195770088700996_917784145237746280,bd,31.0,852c4fae-8f12-4473-974c-9dd0681f9f0d
47553,0.0,0.0,0.0,0.0,0.0,0,1/26/2018,0,1,0,0,0,0,0,0,0,california (united states),california,united states,california (united states),0,0,Tablet,1,1,1,Refinance,e96667f4-d062-4bac-933d-704244598d60,1,8756483763258089866_823669311606812399,bd,31.0,778e1fe0-365d-45fd-a431-c411e1a0f39e
47933,0.0,0.0,0.0,0.0,0.0,0,1/26/2018,0,0,0,0,0,1,1,1,0,tennessee (united states),tennessee,united states,tennessee (united states),0,0,Tablet,0,1,5,Personal,708ff55b-4093-49f6-983e-3cdf710066c6,10,6311171242684624910_5183677201639185910,aff,27.0,ad8a7be5-3d8e-4fc8-91f1-026ad68a1f57
58575,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,1,0,california (united states),california,united states,california (united states),0,0,Other,0,1,1,Refinance,264c01d5-d8c1-4bef-ad53-4caa8bdfbdef,4,3296517574152006231_5695051398263066802,perf,1.0,4a1364ce-7773-4d0a-92df-97a2bde2bd96
58586,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,1,0,california (united states),california,united states,california (united states),0,0,Other,0,1,2,Refinance,f365592c-6f69-4b37-baba-6ba017475311,9,3202705358805951069_9099601777969495502,perf,1.0,46132fdc-33bc-4dba-ba9a-73677d7e7993
61632,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,1,0,florida (united states),florida,united states,florida (united states),0,0,Tablet,0,1,3,Personal,82b1c1fe-73bc-4e8b-b10b-b970676d953b,2,512097625173591612_9133515231820316811,perf,1.0,8b8fd0f0-faa8-4f97-8d53-59443930c3e0
61633,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,1,0,indiana (united states),indiana,united states,indiana (united states),0,0,Tablet,0,1,10,Personal,ab48c41b-0d37-40d9-b199-400b414e73af,1,9221760873345243439_1976598748479151380,perf,1.0,77e68eee-26cb-46e7-becc-118ae210255d
61857,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,0,0,south carolina (united states),south carolina,united states,south carolina (united states),0,0,Tablet,0,1,1,Personal,28c6f36d-5314-40ca-84dc-27ffaacfe332,26,8395725845142874809_5060061504908875905,content,31.0,d1b6e34f-0a2d-46f6-bd63-c8a86be2a95f
62059,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,1,0,1,0,virginia (united states),virginia,united states,virginia (united states),0,0,Other,0,1,2,Auto,3f10924d-4897-4ea7-b730-43068ee491c4,1,2886705139185119820_6901424381717544090,perf,1.0,eaed1a7b-fe2b-4d12-ba16-76d088bb04b5
62425,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,0,0,0,0,0,0,0,0,new york (united states),new york,united states,new york (united states),0,0,Other,1,1,3,Refinance,602464ea-a5f7-48cd-a18e-66ee93ab4add,1,8002080158578010865_6064881409691583957,perf,1.0,05d9d130-2681-495a-b97d-b2da5e454493
62426,0.0,0.0,0.0,0.0,0.0,0,1/30/2018,0,1,0,0,0,0,0,0,0,arizona (united states),arizona,united states,arizona (united states),0,0,Other,1,1,1,Purchase,03b38eb5-3638-402b-8e4f-c1d759269e33,2,2178921425896243681_7438282862864261909,perf,1.0,7611dfd0-fcc1-49e7-ae90-6d60e50b5b9d
